I would like to drastically decrease the amount of time it takes me to clean the house.	J'aimerais diminuer de manière drastique la somme de temps que ça me prend de nettoyer la maison.
Amnesty International often organizes public protests in support of political prisoners.	Amnistie internationale organise souvent des manifestations en soutien aux prisonniers politiques.
Eat a live frog every morning, and nothing worse will happen to you the rest of the day.	Mangez une grenouille vivante chaque matin, et rien de pire ne vous arrivera le reste de la journée.
I had to change clothes because what I was wearing wasn't appropriate for the situation.	J'ai dû changer de vêtements parce que ce que je portais ne convenait pas à la situation.
I haven't eaten anything unusual since I've returned home from my trip around the world.	Je n'ai rien mangé d'inhabituel depuis que je suis revenu de mon voyage autour du monde.
I hope all but one of your dreams come true, so you always have something to strive for.	Je vous souhaite que tous vos rêves se réalisent sauf un, de sorte que vous ayez toujours un but à poursuivre.
I said all along that he was not a person to be trusted, but you would not listen to me.	J'ai dit depuis le début qu'il n'était pas une personne digne de confiance, mais tu ne voulais rien entendre.
I saw many people who had no clothes and I saw many clothes which had no people in them.	J'ai vu beaucoup de personnes qui ne portaient pas d'habits sur eux et j'ai vu beaucoup d'habits qui n'étaient portés par personne.
I used to think that only bears hibernate, but the teacher said that turtles do as well.	Je pensais que seuls les ours hibernaient, mais l'institutrice a dit que les tortues le font aussi.
Laughter is like a windshield wiper. It can't stop the rain, but it lets you move ahead.	Le rire, c'est comme un essuie-glace. Il n'arrête pas la pluie, mais il permet d'avancer.
The Catholic Bible contains everything in the Protestant Bible plus several other books.	La Bible catholique contient tout de la Bible protestante additionné de plusieurs autres livres.
The U.S. Secretary of State is trying to broker a ceasefire between the warring parties.	Le Secrétaire d'État étasunien tente de négocier un cessez-le-feu entre les factions en guerre.
These three hours of driving have worn me out. Let's stop at the first rest area we see.	Ces trois heures au volant m'ont éreinté. Arrêtons-nous à la première aire de repos que nous verrons.
Tom got out of the bathtub and dried himself with the new towel that Mary had given him.	Tom sortit de la baignoire et se sécha avec la nouvelle serviette que Marie lui avait donnée.
Tom shaved off his beard and dyed his hair blonde, hoping people wouldn't recognize him.	Tom s'est rasé la barbe et teint les cheveux en blond en espérant que les gens ne le reconnaîtraient pas.
What surprised me most about that accident is how fast the lawyers arrived on the scene.	Ce qui m'a le plus surpris dans cet accident, c'est la rapidité avec laquelle les avocats sont arrivés sur place.
You may not be in the mood to hear this now, but I need to tell you something important.	Peut-être n'es-tu pas d'humeur à entendre ça maintenant, mais je dois de dire quelque chose d'important.
You only really need to sound exactly like a native speaker if you want to become a spy.	On a vraiment besoin de parler exactement comme un natif que lorsque l'on veut devenir un espion.
Almost the only time a fat man loses his temper is when he has been deprived of his food.	Presque la seule fois où un gros homme perd son sang-froid est lorsqu'on le prive de sa nourriture.
An anonymous benefactor bequeathed several hundred thousand dollars to an animal shelter.	Un bienfaiteur anonyme a fait don de plusieurs centaines de milliers de dollars à un refuge animalier.
Because of modern communication and transportation systems, the world is getting smaller.	Grâce aux moyens de communication modernes et aux systèmes de transports, le monde a rétréci.
He has a reputation as being straight as an arrow. He'd never get involved in corruption.	Il a la réputation d'être intègre. Il ne serait jamais impliqué dans de la corruption.
I got together with her mainly because we seemed to share the same feelings about things.	Je me suis mis avec elle principalement pour la raison qu'on semblait partager les mêmes sentiments sur la vie.
I shoot the rabbits in my garden with a squirt gun to keep them away from the vegetables.	Je tire sur les lapins dans mon jardin avec un pistolet à eau pour les tenir éloignés de mes légumes.
I'm getting little pimples on my face. I wonder if I've been getting enough sleep lately.	J'attrape des petits boutons sur le visage. Je me demande si je dors suffisamment ces temps-ci.
If farmers don't make a decent living growing peanuts, they will try growing other crops.	Si les paysans ne retirent pas un revenu décent de la culture des cacahuètes, ils essayeront d'autres cultures.
If the university doesn't have enough students, the administration will cancel the class.	Si l'université ne dispose pas de suffisamment d'étudiants, l'administration annulera le cours.
It's very unlikely that a serious art collector would ever buy anything from that source.	Il est très improbable qu'un collectionneur d'art achète jamais quoi que ce soit de cette origine.
People say that I dream every night, but if I do, I can't ever remember any of my dreams.	Les gens disent que je rêve toutes les nuits mais si je le fais, je n'arrive jamais à me rappeler aucun de mes rêves.
Please don't make me laugh. I did too many sit-ups yesterday and my stomach muscles hurt.	S'il te plait ne me fais pas rire. J'ai fait trop d'abdominaux hier et mes muscles ventraux me font mal.
She advised him to see the dentist, but he said that he didn't have enough time to do so.	Elle lui recommanda de voir le dentiste mais il déclara qu'il ne disposait pas de suffisamment de temps pour le faire.
She advised him to see the dentist, but he said that he didn't have enough time to do so.	Elle lui a recommandé de voir le dentiste mais il a déclaré qu'il ne disposait pas de suffisamment de temps pour le faire.
Since I have no children, I have more time to spend doing volunteer work than parents do.	Comme je n'ai pas d'enfants, je dispose de davantage de temps que les parents à consacrer à des travaux volontaires.
The government will provide interest-free loans to firms that participate in the program.	Le gouvernement allouera des prêts sans intérêts aux sociétés qui participent au programme.
The poor acoustics in the hall severely affected the audience's enjoyment of the concert.	La médiocre acoustique de la salle a sérieusement affecté le plaisir que le public a retiré du concert.
They say that in America anyone can become president, but perhaps that's not really true.	On dit qu'aux États-Unis d'Amérique, n'importe qui peut devenir Président, mais ce n'est peut-être pas réellement vrai.
Tom certainly had a point when he said we should allow more time to complete the project.	Tom avait certainement un but quand il a dit que nous devrions permettre plus de temps pour compléter le projet.
Tom killed Mary because he found out she had started the fire that had killed his family.	Tom tua Mary parce qu'il a découvert qu'elle était à l'origine du feu qui ravagea sa famille.
Tom killed Mary because he found out she had started the fire that had killed his family.	Tom tua Mary parce qu'il a découvert qu'elle était à l'origine du feu qui tua sa famille.
Tom killed Mary because he found out she had started the fire that had killed his family.	Tom a tué Mary parce qu'il a découvert qu'elle était à l'origine de l'incendie qui a tué sa famille.
"Everything accomplished starts with the dream of it," is a saying we all know to be true.	« Tout ce qui est accompli commence par sa projection » est un dicton dont nous connaissons tous la vérité.
"Why have you started learning to play the piano?" "Because I want to be a music teacher."	"Pourquoi avez-vous commencé à apprendre le piano ?" "Parce que je veux devenir professeur de musique."
Although most islands in the ocean have been mapped, the ocean floor is generally unknown.	Bien que la plupart des îles de l'océan aient été cartographiées, les fonds océaniques sont généralement inconnus.
Bodybuilding is his hobby so he has a very firm tight body with lots of muscle definition.	La musculation est son passe-temps c'est pourquoi il a un corps très ferme avec des muscles bien découpés.
I always thought that a stroke was one of nature's ways to tell you that it's time to die.	J'ai toujours pensé qu'un infarctus était la manière dont la nature t'indique qu'il est temps de mourir.
I am staying with my uncle for the time being, but later I will move to a small apartment.	Je réside avec mon oncle pour le moment, mais plus tard j'emménagerai dans un petit appartement.
I began driving our tractor when I was 12 years old to help my father out at harvest time.	Je conduisais notre tracteur dès l'âge de 12 ans pour aider mon père pendant la moisson.
I know some of you want to go back to the way things were, but that's not going to happen.	Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas se produire.
I know some of you want to go back to the way things were, but that's not going to happen.	Je sais que certaines d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas se produire.
I know some of you want to go back to the way things were, but that's not going to happen.	Je sais que certains d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.
I know some of you want to go back to the way things were, but that's not going to happen.	Je sais que certaines d'entre vous veulent revenir aux choses telles qu'elles étaient mais ça ne va pas arriver.
I'm a non-native speaker of English and realize there is a lot that I still need to learn.	Je suis un locuteur non-natif de l'anglais et je prends conscience que j'ai encore beaucoup à apprendre.
If Cleopatra's nose had been shorter, the whole face of the world would have been changed.	Le nez de Cléopâtre, s'il eût été plus court, toute la face de la terre aurait changé.
Most of the time, he doesn't get to sleep before two or even three o'clock in the morning.	La plupart du temps, il ne s'endort pas avant deux voire trois heures du matin.
One out of 455 women doesn't realize she's pregnant until the twentieth week of pregnancy.	Un femme sur quatre-cent-cinquante-cinq ne prend pas conscience qu'elle est enceinte avant la vingtième semaine de grossesse.
She took advantage of our hospitality and stayed a whole month without paying us anything.	Elle profita de notre hospitalité et resta un mois entier sans rien nous payer.
Sorry, but it all came about so suddenly that I haven't got a handle on the situation yet.	Désolé, mais tout cela s'est produit si soudainement que je n'ai pas encore pu me charger de la situation.
The man who is constantly making decisions and being compelled to alter them gets nowhere.	L'homme qui prend constamment des décisions et est forcé de les altérer ne va nulle part.
The police told the demonstrators that they'd be arrested if they didn't move immediately.	La police indiqua aux manifestants qu'ils seraient arrêtés s'ils ne bougeaient pas immédiatement.
To improve your fluency, you should try speaking with native speakers as often as you can.	Pour améliorer votre fluidité, vous devriez essayer de parler avec des locuteurs natifs le plus souvent possible.
To reduce misunderstandings we should learn the techniques for communicating successfully.	Afin de diminuer les incompréhensions, nous devons apprendre les techniques pour communiquer avec succès.
Tom doesn't like Mary. However, she doesn't particularly care whether he likes her or not.	Tom n'aime pas Mary. Cependant, elle ne se soucie pas particulièrement de savoir si il l'aime ou non.
Tom has enough money to buy any computer in this store. He just needs to decide which one.	Tom a assez d'argent pour acheter n'importe quel ordinateur de ce magasin. Il a seulement besoin de décider lequel.
When Tom was a kid, he became obsessed with the girl who lived across the street from him.	Lorsque Tom était gosse, il est devenu obsédé par la jeune fille qui habitait en face de chez lui.
You're the only person I know besides me who is actually interested in this kind of thing.	Vous êtes la seule personne que je connaisse à part moi qui soit réellement intéressée par ce genre de truc.
You're the only person I know who doesn't take some kind of medicine at least once a week.	Tu es la seule personne que je connaisse qui ne prend pas un médicament ou un autre au moins une fois par semaine.
A study found that almost 10% of men were obese in 2008. That was up from about 5% in 1980.	Une étude a montré que presque dix pour cent des hommes étaient obèses en deux-mille-huit. C'était en augmentation en partant d'environ cinq pour cent en mille-neuf-cent-quatre-vingt.
All of your accusations are without foundation. She's innocent and we're going to prove it.	Toutes vos accusations sont sans fondement, elle est innocente et nous le prouverons !
As a rule, I prefer people who deal with matters of this kind directly with those involved.	En règle générale, je préfère les gens qui traitent ce genre de choses directement avec les personnes concernées.
At the party, one of his political opponents humiliated him in the presence of many guests.	À la fête, un de ses opposants politiques l'a humilié en présence de nombreux invités.
Don't come to me now with that. You should have said something when it originally happened.	Ne viens pas me voir maintenant pour ça. Tu aurais dû en parler dès que c'est arrivé.
He is likely to have a book and a cracker at his meals--and then forget to eat the cracker!	Il a des chances d'avoir un livre et un biscuit pour ses repas...et puis d'oublier de manger le biscuit !
I like this picture, not just because it is famous, but because it really is a masterpiece.	J'aime ce tableau, pas seulement pour sa renommée, mais parce que c'est vraiment un chef-d'œuvre.
I suggest you have a native speaker read over your report to make sure there are no errors.	Je suggère que tu fasses relire ton rapport par un natif, pour t'assurer qu'il n'y a pas d'erreurs.
I'd like to ask you a question, but if this is a bad time, I can come back at another time.	J'aimerais vous poser une question mais si le moment n'est pas propice, je peux revenir à un autre moment.
I'd like to ask you a question, but if this is a bad time, I can come back at another time.	J'aimerais te poser une question mais si le moment n'est pas propice, je peux revenir à un autre moment.
The best parents of all are those who allow their children to follow their natural talents.	Les meilleurs de tous les parents sont ceux qui permettent à leurs enfants de suivre leurs talents naturels.
The important point to note is that both parties offered similar solutions to this problem.	Le point important à noter est que les deux groupes ont proposé des solutions similaires à ce problème.
The rabbit stood in the middle of the road, mesmerized by the lights of the oncoming truck.	Le lapin se tenait au milieu de la route, hypnotisé par les phares du camion qui arrivait.
There were many things that needed my attention, so I didn't get home until after midnight.	Il y avait de nombreuses choses qui requéraient mon attention, je ne suis donc rentré chez moi qu'après minuit.
There were many things that we wanted to do, but we never got around to doing many of them.	Il y avait de nombreuses choses que nous voulions faire, mais nous ne sommes pas parvenus à faire beaucoup d'entre elles.
There were many things that we wanted to do, but we never got around to doing many of them.	Il y avait de nombreuses choses que nous voulions faire, mais nous ne sommes pas parvenues à faire beaucoup d'entre elles.
This figure is supposed to represent Marilyn Monroe, but I don't think it does her justice.	Cette figurine est censée représenter Marilyn Monroe, mais je ne trouve pas qu'elle lui rende justice.
67% of those who never smoked said they worried about the health effects of passive smoking.	67% de ceux qui n'ont jamais fumé ont dit qu'ils s'inquiétaient des effets sur la santé de la fumée passive.
"When poverty comes in the door, love flies out the window" is a saying as old as it is sad.	« Lorsque la pauvreté passe la porte, l'amour s'envole par la fenêtre » est un adage aussi vieux que triste.
A "renovator's dream" in real estate parlance generally means that the place is a real dump.	Dans le jargon de l'immobilier, un « rêve pour bricoleur » signifie généralement que l'endroit est une vraie décharge.
A slightly lower interest rate could save thousands of dollars over the life of a home loan.	Un taux d'intérêt un peu plus bas peut épargner des milliers de dollars au cours de la durée d'un prêt immobilier.
According to legend, ghosts would appear in that forest, so people would not set foot there.	Selon la légende, cette forêt serait hantée, aussi les gens n'y mettaient pas les pieds.
After I graduated from college, I moved back home and lived with my parents for three years.	Après avoir été diplômé de l'école, j'ai de nouveau emménagé chez moi et vécu avec mes parents pendant trois ans.
After I graduated from college, I moved back home and lived with my parents for three years.	Après avoir été diplômée de l'école, j'ai de nouveau emménagé chez moi et vécu avec mes parents durant trois ans.
Children often want to do things that are dangerous without knowing that they are dangerous.	Les enfants veulent souvent faire des choses qui sont dangereuses, sans savoir qu'elles sont dangereuses.
Even though my friend was a vegetarian, I didn't tell him that the soup had some meat in it.	Bien que mon ami fut végétarien, je ne lui dis pas que la soupe contenait de la viande.
Even though my friend was a vegetarian, I didn't tell him that the soup had some meat in it.	Bien que mon ami soit végétarien, je ne lui ai pas dit que la soupe contenait de la viande.
He writes a daily journal, and that inspired me to try doing the same thing, but in English.	Il tient un journal intime, et cela m'a encouragé à faire pareil, mais en anglais.
It should be stressed that we are often influenced by advertising without being aware of it.	Il y a lieu de souligner que nous sommes souvent inconsciemment influencés par la publicité.
My sister will have been studying English for ten years when she graduates from her college.	Ma sœur aura étudié l'anglais durant dix ans quand elle obtiendra son diplôme de l'université.
Numbers that can be expressed as fractions of two whole numbers are called rational numbers.	On dit « rationnel » un nombre qui s'exprime en tant que fraction de deux entiers relatifs.
She asked him to help her father clean the garage, but he said that he was too busy to help.	Elle lui demanda d'aider son père à nettoyer le garage mais il déclara qu'il était trop occupé pour le faire.
She asked him to help her father clean the garage, but he said that he was too busy to help.	Elle lui a demandé d'aider son père à nettoyer le garage mais il a déclaré qu'il était trop occupé pour le faire.
The bank rate cut is expected to relieve the severe financial squeeze that has hit industry.	On espère que la baisse des taux bancaires soulagera le sévère resserrement financier qui a frappé l'industrie.
The cat was lying stretched out at full length in the sunlight streaming through the window.	Le chat était étendu de tout son long dans la lumière du soleil, rayonnant par la fenêtre.
When we started out, we realized that if we didn't have a good product, we wouldn't succeed.	Lorsque nous avons commencé, nous avons réalisé que si nous ne disposions pas d'un bon produit, nous ne réussirions pas.
You probably eat genetically modified fruits and vegetables all the time without knowing it.	Vous mangez probablement tout le temps des fruits et des légumes génétiquement modifiés sans le savoir.
A little knowledge of Spanish will go a long way toward making your trip to Mexico enjoyable.	Avoir quelques notions d'espagnol contribuera largement à rendre ton séjour au Mexique plus agréable.
After he came back from service in Afghanistan, Tom was plagued by flashbacks and nightmares.	Après son retour de services en Afghanistan, Tom était tourmenté par des flashbacks et des cauchemars.
Certainly he is handsome and intelligent, but there is something about him that I can't like.	Il est certainement beau et intelligent mais il y a quelque chose en lui que je n'arrive pas à aimer.
I never thought this rubber band would come in handy when I put it in my pocket this morning.	Je n'ai jamais pensé que cet élastique s'avérerait utile lorsque je l'ai mis dans ma poche ce matin.
Right now, we have blueberries, blackberries, cherries, strawberries, peaches and nectarines.	À l'heure actuelle, nous avons des myrtilles, des mûres, des cerises, des fraises, des pêches et des nectarines.
Rwandan rebels are pushing their offensive south as fighting continues in the capital Kigali.	Alors que les combats continuent dans la capitale Kigali, les forces antigouvernementales rwandaises poussent leur offensive vers le sud.
Since this is your neck of the woods, maybe you can tell us where to find a good pizza joint.	Comme c'est ton bled, peut-être peux-tu nous dire où trouver une bonne pizzeria.
Since this is your neck of the woods, maybe you can tell us where to find a good pizza joint.	Comme c'est votre bled, peut-être pouvez-vous nous dire où trouver une bonne pizzeria.
The man in charge of the merry-go-round decided to make sure everything was working properly.	L'homme en charge du manège décida de s'assurer que tout fonctionnait correctement.
The only thing that matters is whether or not your teacher thinks your report is good enough.	La seule chose qui compte vraiment est si oui ou non ton professeur pense que ton exposé est assez bon.
The only thing that matters is whether or not your teacher thinks your report is good enough.	La seule chose qui compte vraiment est si oui ou non votre professeur pense que votre exposé est assez bon.
To laugh at everything that is done or said is stupid, but not to laugh is even more foolish.	Rire de tout ce qui est dit ou fait est idiot mais ne pas rire est encore plus bête.
Tom insisted he hadn't been drinking, but his slurred speech and unsteady gait gave him away.	Tom a insisté qu'il n'avait pas bu, mais son élocution et sa démarche instable le trahissait.
We keep our most interesting thoughts and the most interesting side of ourselves hidden away.	Nous gardons secrètes nos pensées les plus intéressantes et la part la plus intéressante de nous-mêmes.
When we started out, our band could only find small clubs in small cities that would hire us.	Quand nous avons démarré, notre groupe ne pouvait trouver que des petites salles dans de petites villes pour nous engager.
A business cycle is a recurring succession of periods of prosperity and periods of depression.	Le cycle d'une entreprise est une succession de périodes de prospérité et de dépression.
Abraham Lincoln, the 16th president of the United States, was born in a log cabin in Kentucky.	Abraham Lincoln, le 16e Président des États-Unis, est né dans une fuste au Kentucky.
Abraham Lincoln, the 16th president of the United States, was born in a log cabin in Kentucky.	Abraham Lincoln, le 16e Président des États-Unis, est né dans une cabane au Kentucky.
Bear in mind that, under such circumstances, we have no alternative but to find another buyer.	Comprenez bien que dans de telles circonstances, nous n'avons pas d'autres alternatives que de trouver un autre acheteur.
By the end of the century, the earth will have experienced a dramatic increase in temperature.	D'ici la fin du siècle, la terre aura fait l'expérience d'une alarmante augmentation de la température.
I can't help but feel that if we had gotten to know each other better, we'd have been friends.	Je ne peux pas m'empêcher de penser que si nous avions mieux fait connaissance, nous aurions été amis.
I can't help but feel that if we had gotten to know each other better, we'd have been friends.	Je ne peux pas m'empêcher de penser que si nous avions mieux fait connaissance, nous aurions été amies.
I realize that this may sound crazy, but I think I've fallen in love with your younger sister.	Je me rends compte que ça a l'air fou, mais je pense que je suis tombé amoureux de votre sœur cadette.
I realize that this may sound crazy, but I think I've fallen in love with your younger sister.	Je me rends compte que ça a l'air fou, mais je pense que je suis tombé amoureux de ta sœur cadette.
I tried explaining the algebra homework to him, but it just went in one ear and out the other.	Je tentai de lui expliquer le devoir d'algèbre, mais ça rentra juste par une oreille et ça ressortit pas l'autre.
If camping doesn't float your boat, then you probably don't want to spend the weekend with us.	Si camper n'est pas ton truc, alors tu ne veux probablement pas passer le week-end avec nous.
If we were supposed to talk more than listen, we would have been given two mouths and one ear.	Si on était censé parler plus qu'on écoute, on serait doté de deux bouches et d'une seule oreille.
If you want to lose weight, the best thing to do is to eat properly and get a lot of exercise.	Si vous voulez perdre du poids, la meilleure chose à faire est de manger proprement et faire beaucoup d'exercice.
In conversation, one is likely to find out certain things about the other person quite easily.	Dans une conversation, il est probable que quelqu'un découvre assez facilement certaines choses à propos de l'autre personne.
In the United States, it takes a minimum of eight years of college to become a medical doctor.	Aux USA, devenir médecin prend un minimum de huit années d'études universitaires.
It looks like the question was too easy for you. Next time, I'll have to make it a bit harder.	Il semble que la question était trop facile pour toi. La prochaine fois, je devrai en faire une un peu plus difficile.
It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.	Le gâteau a brûlé par ma faute. J'étais au téléphone et n'ai pas fait attention à l'heure.
No person achieves success or happiness when compelled to do what he naturally dislikes to do.	Personne n'atteint au succès ou au bonheur en étant forcé de faire ce qu'il répugne naturellement à faire.
The data cited in King's research is taken from UNESCO's 1970 white paper on world population.	Les données citées dans l'enquête de King proviennent du livre blanc de l'UNESCO de 1970 sur la population mondiale.
The wizened, old sorcerer took me under his wing and taught me everything he knew about magic.	Le vieux sorcier ratatiné me prit sous son aile et m'enseigna tout ce qu'il savait de la magie.
There's nothing more annoying than a group of young girls all trying to talk at the same time.	Il n'y a rien de plus embêtant qu'un groupe de jeunes filles qui essayent toutes de parler en même temps.
There's nothing more annoying than a group of young girls all trying to talk at the same time.	Il n'y a rien de plus embêtant qu'un groupe de jeunes filles qui, toutes, essaient de parler en même temps.
We very often only come to appreciate someone or our relationship with them when we lose them.	Nous finissons très souvent par apprécier quelqu'un ou notre relation avec lui seulement lorsque nous le perdons.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque vous rencontrez une personne pour la première fois, soyez attentif à la distance à laquelle vous vous en tenez.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque tu rencontres une personne pour la première fois, sois attentif à la distance à laquelle tu te tiens d'elle.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque tu rencontres une personne pour la première fois, sois attentive à la distance à laquelle tu te tiens d'elle.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque vous rencontrez une personne pour la première fois, soyez attentifs à la distance à laquelle vous vous en tenez.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque vous rencontrez une personne pour la première fois, soyez attentive à la distance à laquelle vous vous tenez d'elle.
When you meet someone for the first time, be careful about how close you stand to that person.	Lorsque vous rencontrez une personne pour la première fois, soyez attentives à la distance à laquelle vous vous en tenez.
You don't know until you've had a child what pain you can feel when something happens to them.	Vous ne savez pas, jusqu'à ce que vous ayez un enfant, quelle douleur vous pouvez ressentir lorsque quelque chose leur arrive.
A motel is like a hotel only much smaller and is used mostly by people traveling by automobile.	Un motel ressemble à un hôtel, mais c'est plus petit et utilisé principalement par des gens qui voyagent en voiture.
As soon as I can get my son to scan our family photos, I'll upload some of them to our website.	Dès que je parviens à faire scanner nos photos de famille par mon fils, j'en téléchargerai sur notre site web.
For some reason, people have been avoiding me like the plague ever since I got back from India.	Pour une raison quelconque, les gens m'ont évité comme la peste depuis que je suis revenu d'Inde.
For some reason, people have been avoiding me like the plague ever since I got back from India.	Pour une raison quelconque, les gens m'ont évitée comme la peste depuis que je suis revenue d'Inde.
I think that Tom and only Tom can do it. However, some people think that Mary could do it, too.	Je crois que Tom seul peut le faire. Toutefois, il y a ceux qui croient que Marie en est également capable.
It's customary for waiters and waitresses to introduce themselves using only their first names.	Il est usuel chez les serveurs et les serveuses de se présenter en n'employant que leur prénom.
Mary likes to wear clothes with vertical stripes, because she heard they make you look thinner.	Marie aime porter des vêtements avec des rayures verticales, car elle a entendu dire que ça amincissait.
Professional translators quite often specialize in just one field, for example law or medicine.	Les traducteurs professionnels se spécialisent souvent dans un seul domaine, par exemple le droit ou la médecine.
The U.S. Department of Health says people should exercise at least two and a half hours a week.	Le Département de la Santé des USA déclare que les gens devraient faire de l'exercice au moins deux heures et demie par semaine.
The world was on the very brink of nuclear war during the Cuban Missile Crisis in October 1962.	Le monde était tout au bord d'une guerre nucléaire, lors de la crise des missiles de Cuba, en octobre dix-neuf-cent-soixante-deux.
Tom did not want to throw anything away because he thought that he might need it in the future.	Tom ne voulait rien jeter parce qu'il pensait qu'il pourrait en avoir besoin à l'avenir.
We have considered your proposal, and we have decided that we are not able to reduce the price.	Nous avons pris votre proposition en considération et nous avons décidé que nous ne sommes pas en mesure de réduire le prix.
We humans have a great way of twisting facts to fit our conclusion as soon as we have made one.	Nous les humains avons une grande disposition à tordre les faits pour qu'ils s'ajustent à notre conclusion dès lors que nous en avons formé une.
What is considered impolite in one language may not be considered impolite in another language.	Ce qui est considéré comme impoli dans une langue peut ne pas l'être dans une autre.
When out at sea, to keep the fish that is caught from spoiling, it is immediately refrigerated.	En mer, pour empêcher le poisson qui est capturé de se gâter, il est immédiatement réfrigéré.
Acidification of the ocean will, in time, threaten the very existence of the Great Barrier Reef.	L'acidification de l'océan menacera, à un moment, l'existence même de la Grande Barrière de Corail.
Going to church doesn't make you a Christian any more than standing in a garage makes you a car.	Aller à l'église ne fait pas davantage de toi un Chrétien que te tenir dans un garage ne fait de toi une voiture.
I thought a bunch of people would go water skiing with us, but absolutely no one else showed up.	Je pensais qu'une poignée de gens serait venue faire du ski-nautique avec nous, mais absolument personne ne se manifesta.
I thought doing this would be easy, but we've been working all day and we're still not finished.	Je pensais que faire cela serait facile, mais nous avons travaillé toute la journée et nous n'avons pas encore terminé.
It's not uncommon for people to give fake personal information when registering to use websites.	Ce n'est pas inhabituel pour les gens de donner de fausses informations quand ils s'inscrivent à des sites web.
Most of the plain, simple, everyday things he desires can be secured by people of average means.	La plupart des choses ordinaires, simples et quotidiennes qu'il désire peut être obtenue par des gens au revenu moyen.
Mozart wrote brilliant, complex musical compositions as easily as you or I would write a letter.	Mozart a écrit de brillantes et complexes compositions musicales aussi facilement que toi ou moi écririons une lettre.
People can begin to love when they choose, but they have no choice when it comes to ending love.	Les gens peuvent se mettre à aimer lorsqu'ils le veulent mais ils n'ont pas de choix lorsqu'il s'agit d'arrêter d'aimer.
She would often bring home table scraps from the restaurant where she worked to feed to her dog.	Elle ramenait souvent des restes du restaurant où elle travaillait pour donner à manger à son chien.
Since I haven't received an answer, I was wondering if maybe my mail never got delivered to you.	Étant donné que je n'ai reçu aucune réponse, je me demandais s'il était possible que mon courrier ne vous ait jamais été livré.
To have more than one problem before him at one time makes him irritable, upset and exasperated.	Avoir devant lui plus d'un problème à la fois le rend irritable, contrarié et exaspéré.
You will receive a confirmation email after your account has been activated by an administrator.	Vous allez recevoir une confirmation par courriel après l'activation de votre compte par un administrateur.
Blood spatter analysis plays an important role in determining what has happened at a crime scene.	L'analyse des éclaboussures de sang joue un rôle important dans la détermination de ce qui s'est produit sur un lieu de crime.
Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds.	Le monoxyde de carbone est une substance mortelle qui résulte de la combustion incomplète de composés carbonés.
